# R_0.1.dat
 # dt=  0.10000000000000001        nend=          10   np=           1
 # t, u, exp(t), u-exp(t)
  0.100  0.1105171D+01  0.1105171D+01 -0.8474231D-07
  0.200  0.1221403D+01  0.1221403D+01 -0.1873095D-06
  0.300  0.1349858D+01  0.1349859D+01 -0.3105135D-06
  0.400  0.1491824D+01  0.1491825D+01 -0.4575606D-06
  0.500  0.1648721D+01  0.1648721D+01 -0.6321033D-06
  0.600  0.1822118D+01  0.1822119D+01 -0.8382986D-06
  0.700  0.2013752D+01  0.2013753D+01 -0.1080874D-05
  0.800  0.2225540D+01  0.2225541D+01 -0.1365200D-05
  0.900  0.2459601D+01  0.2459603D+01 -0.1697377D-05
  1.000  0.2718280D+01  0.2718282D+01 -0.2084324D-05
