# E2_0.05.dat
 # dt=   5.0000000000000003E-002   nend=          20   np=           2
 # t, u, exp(t), u-exp(t)
  0.100  0.1255000D+01  0.1105171D+01  0.1498291D+00
  0.200  0.1495500D+01  0.1221403D+01  0.2740972D+00
  0.300  0.1782050D+01  0.1349859D+01  0.4321912D+00
  0.400  0.2123505D+01  0.1491825D+01  0.6316803D+00
  0.500  0.2530385D+01  0.1648721D+01  0.8816642D+00
  0.600  0.3015228D+01  0.1822119D+01  0.1193109D+01
  0.700  0.3592969D+01  0.2013753D+01  0.1579216D+01
  0.800  0.4281411D+01  0.2225541D+01  0.2055870D+01
  0.900  0.5101763D+01  0.2459603D+01  0.2642160D+01
  1.000  0.6079302D+01  0.2718282D+01  0.3361020D+01
