# R_0.001.dat
 # dt=   1.0000000000000000E-003   nend=        1000   np=         100
 # t, u, exp(t), u-exp(t)
  0.100  0.1105171D+01  0.1105171D+01 -0.2220446D-15
  0.200  0.1221403D+01  0.1221403D+01 -0.1554312D-14
  0.300  0.1349859D+01  0.1349859D+01 -0.3108624D-14
  0.400  0.1491825D+01  0.1491825D+01 -0.4218847D-14
  0.500  0.1648721D+01  0.1648721D+01 -0.5773160D-14
  0.600  0.1822119D+01  0.1822119D+01 -0.7549517D-14
  0.700  0.2013753D+01  0.2013753D+01 -0.1110223D-13
  0.800  0.2225541D+01  0.2225541D+01 -0.1421085D-13
  0.900  0.2459603D+01  0.2459603D+01 -0.1776357D-13
  1.000  0.2718282D+01  0.2718282D+01 -0.2042810D-13
