# E_0.1.dat
 # dt=  0.10000000000000001        nend=          10   np=           1
 # t, u, exp(t), u-exp(t)
  0.100  0.1100000D+01  0.1105171D+01 -0.5170918D-02
  0.200  0.1210000D+01  0.1221403D+01 -0.1140276D-01
  0.300  0.1331000D+01  0.1349859D+01 -0.1885881D-01
  0.400  0.1464100D+01  0.1491825D+01 -0.2772470D-01
  0.500  0.1610510D+01  0.1648721D+01 -0.3821127D-01
  0.600  0.1771561D+01  0.1822119D+01 -0.5055780D-01
  0.700  0.1948717D+01  0.2013753D+01 -0.6503561D-01
  0.800  0.2143589D+01  0.2225541D+01 -0.8195212D-01
  0.900  0.2357948D+01  0.2459603D+01 -0.1016554D+00
  1.000  0.2593742D+01  0.2718282D+01 -0.1245394D+00
