# E_0.001.dat
 # dt=   1.0000000000000000E-003   nend=        1000   np=         100
 # t, u, exp(t), u-exp(t)
  0.100  0.1105116D+01  0.1105171D+01 -0.5522035D-04
  0.200  0.1221281D+01  0.1221403D+01 -0.1220528D-03
  0.300  0.1349656D+01  0.1349859D+01 -0.2023288D-03
  0.400  0.1491527D+01  0.1491825D+01 -0.2981364D-03
  0.500  0.1648309D+01  0.1648721D+01 -0.4118543D-03
  0.600  0.1821573D+01  0.1822119D+01 -0.5461896D-03
  0.700  0.2013048D+01  0.2013753D+01 -0.7042208D-03
  0.800  0.2224651D+01  0.2225541D+01 -0.8894456D-03
  0.900  0.2458497D+01  0.2459603D+01 -0.1105835D-02
  1.000  0.2716924D+01  0.2718282D+01 -0.1357896D-02
