# E2_0.1.dat
 # dt=  0.10000000000000001        nend=          10   np=           1
 # t, u, exp(t), u-exp(t)
  0.100  0.1300000D+01  0.1105171D+01  0.1948291D+00
  0.200  0.1520000D+01  0.1221403D+01  0.2985972D+00
  0.300  0.1780000D+01  0.1349859D+01  0.4301412D+00
  0.400  0.2084000D+01  0.1491825D+01  0.5921753D+00
  0.500  0.2440000D+01  0.1648721D+01  0.7912787D+00
  0.600  0.2856800D+01  0.1822119D+01  0.1034681D+01
  0.700  0.3344800D+01  0.2013753D+01  0.1331047D+01
  0.800  0.3916160D+01  0.2225541D+01  0.1690619D+01
  0.900  0.4585120D+01  0.2459603D+01  0.2125517D+01
  1.000  0.5368352D+01  0.2718282D+01  0.2650070D+01
